date;close;open;high;low
1996-01-01;1507,65;1507,65;1507,65;1507,65
1996-01-02;1526,58;1526,58;1526,58;1526,58
1996-01-03;1544,07;1544,07;1544,07;1544,07
1996-01-04;1535,23;1535,23;1535,23;1535,23
1996-01-05;1527,90;1527,90;1527,90;1527,90
1996-01-08;1526,41;1526,41;1526,41;1526,41
1996-01-09;1530,44;1530,44;1530,44;1530,44
1996-01-10;1523,43;1523,43;1523,43;1523,43
1996-01-11;1513,85;1513,85;1513,85;1513,85
1996-01-12;1535,02;1535,02;1535,02;1535,02
1996-01-15;1533,84;1533,84;1533,84;1533,84
1996-01-16;1549,09;1549,09;1549,09;1549,09
1996-01-17;1558,37;1558,37;1558,37;1558,37
1996-01-18;1563,18;1563,18;1563,18;1563,18
1996-01-19;1577,92;1577,92;1577,92;1577,92
1996-01-22;1576,04;1576,04;1576,04;1576,04
1996-01-23;1565,50;1565,50;1565,50;1565,50
1996-01-24;1586,43;1586,43;1586,43;1586,43
1996-01-25;1593,03;1593,03;1593,03;1593,03
1996-01-26;1599,87;1599,87;1599,87;1599,87
1996-01-29;1605,08;1605,08;1605,08;1605,08
1996-01-30;1603,77;1603,77;1603,77;1603,77
1996-01-31;1611,05;1611,05;1611,05;1611,05
1996-02-01;1608,78;1608,78;1608,78;1608,78
1996-02-02;1610,54;1610,54;1610,54;1610,54
1996-02-05;1590,69;1590,69;1590,69;1590,69
1996-02-06;1594,11;1594,11;1594,11;1594,11
1996-02-07;1594,51;1594,51;1594,51;1594,51
1996-02-08;1586,24;1586,24;1586,24;1586,24
1996-02-09;1583,29;1583,29;1583,29;1583,29
1996-02-12;1589,01;1589,01;1589,01;1589,01
1996-02-13;1599,64;1599,64;1599,64;1599,64
1996-02-14;1593,17;1593,17;1593,17;1593,17
1996-02-15;1587,69;1587,69;1587,69;1587,69
1996-02-16;1586,81;1586,81;1586,81;1586,81
1996-02-19;1572,32;1572,32;1572,32;1572,32
1996-02-20;1556,36;1556,36;1556,36;1556,36
1996-02-21;1563,72;1563,72;1563,72;1563,72
1996-02-22;1579,31;1579,31;1579,31;1579,31
1996-02-23;1594,36;1594,36;1594,36;1594,36
1996-02-26;1581,35;1581,35;1581,35;1581,35
1996-02-27;1577,78;1577,78;1577,78;1577,78
1996-02-28;1593,88;1593,88;1593,88;1593,88
1996-02-29;1595,64;1595,64;1595,64;1595,64
1996-03-01;1609,59;1609,59;1609,59;1609,59
1996-03-04;1604,76;1604,76;1604,76;1604,76
1996-03-05;1593,18;1593,18;1593,18;1593,18
1996-03-06;1592,60;1592,60;1592,60;1592,60
1996-03-07;1599,87;1599,87;1599,87;1599,87
1996-03-08;1585,61;1585,61;1585,61;1585,61
1996-03-11;1563,31;1563,31;1563,31;1563,31
1996-03-12;1566,72;1566,72;1566,72;1566,72
1996-03-13;1568,97;1568,97;1568,97;1568,97
1996-03-14;1576,33;1576,33;1576,33;1576,33
1996-03-15;1578,08;1578,08;1578,08;1578,08
1996-03-18;1589,20;1589,20;1589,20;1589,20
1996-03-19;1601,27;1601,27;1601,27;1601,27
1996-03-20;1600,39;1600,39;1600,39;1600,39
1996-03-21;1603,15;1603,15;1603,15;1603,15
1996-03-22;1604,06;1604,06;1604,06;1604,06
1996-03-25;1606,10;1606,10;1606,10;1606,10
1996-03-26;1602,44;1602,44;1602,44;1602,44
1996-03-27;1611,44;1611,44;1611,44;1611,44
1996-03-28;1604,96;1604,96;1604,96;1604,96
1996-03-29;1612,24;1612,24;1612,24;1612,24
1996-04-01;1619,33;1619,33;1619,33;1619,33
1996-04-02;1620,88;1620,88;1620,88;1620,88
1996-04-03;1622,79;1622,79;1622,79;1622,79
1996-04-04;1627,37;1627,37;1627,37;1627,37
1996-04-05;1625,74;1625,74;1625,74;1625,74
1996-04-08;1626,08;1626,08;1626,08;1626,08
1996-04-09;1627,77;1627,77;1627,77;1627,77
1996-04-10;1644,85;1644,85;1644,85;1644,85
1996-04-11;1633,45;1633,45;1633,45;1633,45
1996-04-12;1632,71;1632,71;1632,71;1632,71
1996-04-15;1647,87;1647,87;1647,87;1647,87
1996-04-16;1651,56;1651,56;1651,56;1651,56
1996-04-17;1639,99;1639,99;1639,99;1639,99
1996-04-18;1645,28;1645,28;1645,28;1645,28
1996-04-19;1651,43;1651,43;1651,43;1651,43
1996-04-22;1666,30;1666,30;1666,30;1666,30
1996-04-23;1665,07;1665,07;1665,07;1665,07
1996-04-24;1666,47;1666,47;1666,47;1666,47
1996-04-25;1670,37;1670,37;1670,37;1670,37
1996-04-26;1674,50;1674,50;1674,50;1674,50
1996-04-29;1669,09;1669,09;1669,09;1669,09
1996-04-30;1671,13;1671,13;1671,13;1671,13
1996-05-01;1675,67;1675,67;1675,67;1675,67
1996-05-02;1673,12;1673,12;1673,12;1673,12
1996-05-03;1653,20;1653,20;1653,20;1653,20
1996-05-06;1655,77;1655,77;1655,77;1655,77
1996-05-07;1655,23;1655,23;1655,23;1655,23
1996-05-08;1645,41;1645,41;1645,41;1645,41
1996-05-09;1651,74;1651,74;1651,74;1651,74
1996-05-10;1658,16;1658,16;1658,16;1658,16
1996-05-13;1660,23;1660,23;1660,23;1660,23
1996-05-14;1676,50;1676,50;1676,50;1676,50
1996-05-15;1687,45;1687,45;1687,45;1687,45
1996-05-16;1684,09;1684,09;1684,09;1684,09
1996-05-17;1678,32;1678,32;1678,32;1678,32
1996-05-20;1685,34;1685,34;1685,34;1685,34
1996-05-21;1691,04;1691,04;1691,04;1691,04
1996-05-22;1681,22;1681,22;1681,22;1681,22
1996-05-23;1682,84;1682,84;1682,84;1682,84
1996-05-24;1678,46;1678,46;1678,46;1678,46
1996-05-27;1680,44;1680,44;1680,44;1680,44
1996-05-28;1686,86;1686,86;1686,86;1686,86
1996-05-29;1678,81;1678,81;1678,81;1678,81
1996-05-30;1668,58;1668,58;1668,58;1668,58
1996-05-31;1673,76;1673,76;1673,76;1673,76
1996-06-03;1662,58;1662,58;1662,58;1662,58
1996-06-04;1665,87;1665,87;1665,87;1665,87
1996-06-05;1673,71;1673,71;1673,71;1673,71
1996-06-06;1674,43;1674,43;1674,43;1674,43
1996-06-07;1666,66;1666,66;1666,66;1666,66
1996-06-10;1676,01;1676,01;1676,01;1676,01
1996-06-11;1680,02;1680,02;1680,02;1680,02
1996-06-12;1685,21;1685,21;1685,21;1685,21
1996-06-13;1675,32;1675,32;1675,32;1675,32
1996-06-14;1665,96;1665,96;1665,96;1665,96
1996-06-17;1665,98;1665,98;1665,98;1665,98
1996-06-18;1672,31;1672,31;1672,31;1672,31
1996-06-19;1661,97;1661,97;1661,97;1661,97
1996-06-20;1651,82;1651,82;1651,82;1651,82
1996-06-21;1649,54;1649,54;1649,54;1649,54
1996-06-24;1658,69;1658,69;1658,69;1658,69
1996-06-25;1667,28;1667,28;1667,28;1667,28
1996-06-26;1667,40;1667,40;1667,40;1667,40
1996-06-27;1657,51;1657,51;1657,51;1657,51
1996-06-28;1665,90;1665,90;1665,90;1665,90
1996-07-01;1663,44;1663,44;1663,44;1663,44
1996-07-02;1662,17;1662,17;1662,17;1662,17
1996-07-03;1662,39;1662,39;1662,39;1662,39
1996-07-04;1668,86;1668,86;1668,86;1668,86
1996-07-05;1657,40;1657,40;1657,40;1657,40
1996-07-08;1643,72;1643,72;1643,72;1643,72
1996-07-09;1649,90;1649,90;1649,90;1649,90
1996-07-10;1644,54;1644,54;1644,54;1644,54
1996-07-11;1637,84;1637,84;1637,84;1637,84
1996-07-12;1624,01;1624,01;1624,01;1624,01
1996-07-15;1614,81;1614,81;1614,81;1614,81
1996-07-16;1578,26;1578,26;1578,26;1578,26
1996-07-17;1589,28;1589,28;1589,28;1589,28
1996-07-18;1599,28;1599,28;1599,28;1599,28
1996-07-19;1602,75;1602,75;1602,75;1602,75
1996-07-22;1578,00;1578,00;1578,00;1578,00
1996-07-23;1586,00;1586,00;1586,00;1586,00
1996-07-24;1563,32;1563,32;1563,32;1563,32
1996-07-25;1578,70;1578,70;1578,70;1578,70
1996-07-26;1571,31;1571,31;1571,31;1571,31
1996-07-29;1573,74;1573,74;1573,74;1573,74
1996-07-30;1574,73;1574,73;1574,73;1574,73
1996-07-31;1590,93;1590,93;1590,93;1590,93
1996-08-01;1601,71;1601,71;1601,71;1601,71
1996-08-02;1616,43;1616,43;1616,43;1616,43
1996-08-05;1620,54;1620,54;1620,54;1620,54
1996-08-06;1617,66;1617,66;1617,66;1617,66
1996-08-07;1621,59;1621,59;1621,59;1621,59
1996-08-08;1620,71;1620,71;1620,71;1620,71
1996-08-09;1612,64;1612,64;1612,64;1612,64
1996-08-12;1610,67;1610,67;1610,67;1610,67
1996-08-13;1614,26;1614,26;1614,26;1614,26
1996-08-14;1612,07;1612,07;1612,07;1612,07
